Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Season,Winner
2021-01-06,New York Knicks,Utah Jazz,112,100,0.517,0.44,0.364,0.318,0.737,0.545,48,42,22,20,12,14,2020-21,Home
2021-01-06,Sacramento Kings,Chicago Bulls,128,124,0.516,0.527,0.378,0.35,0.741,0.8,39,43,30,27,7,14,2020-21,Home
2021-01-06,Indiana Pacers,Houston Rockets,114,107,0.472,0.481,0.391,0.267,0.808,0.808,38,39,21,19,9,16,2020-21,Home
2021-01-06,Golden State Warriors,LA Clippers,101,108,0.453,0.444,0.267,0.324,0.789,1.0,35,48,25,19,13,19,2020-21,Away
2021-01-06,New Orleans Pelicans,Oklahoma City Thunder,110,111,0.494,0.46,0.182,0.413,0.783,0.75,52,38,25,28,15,14,2020-21,Away
2021-01-06,Orlando Magic,Cleveland Cavaliers,105,94,0.494,0.424,0.414,0.154,0.722,0.692,43,45,20,24,15,10,2020-21,Home
2021-01-06,Atlanta Hawks,Charlotte Hornets,94,102,0.375,0.376,0.175,0.306,0.833,0.818,57,49,25,22,13,9,2020-21,Away
2021-01-06,Miami Heat,Boston Celtics,105,107,0.432,0.424,0.361,0.343,0.846,0.917,42,53,26,22,8,7,2020-21,Away
2021-01-06,Philadelphia 76ers,Washington Wizards,141,136,0.617,0.5,0.621,0.432,0.697,0.743,35,35,33,27,16,13,2020-21,Home
2021-01-06,Phoenix Suns,Toronto Raptors,123,115,0.482,0.494,0.525,0.4,0.917,0.719,41,42,30,18,10,12,2020-21,Home
2021-01-06,Milwaukee Bucks,Detroit Pistons,130,115,0.544,0.392,0.442,0.317,0.619,0.867,47,47,35,20,14,9,2020-21,Home
2021-01-07,Portland Trail Blazers,Minnesota Timberwolves,135,117,0.544,0.419,0.439,0.341,0.826,0.758,44,48,25,24,15,16,2020-21,Home
2021-01-07,Los Angeles Lakers,San Antonio Spurs,109,118,0.5,0.467,0.333,0.457,0.619,0.941,48,40,21,28,13,6,2020-21,Away
2021-01-07,Memphis Grizzlies,Cleveland Cavaliers,90,94,0.434,0.456,0.355,0.433,0.875,0.563,48,37,27,24,18,15,2020-21,Away
2021-01-07,Brooklyn Nets,Philadelphia 76ers,122,109,0.454,0.471,0.405,0.346,0.655,0.9,48,47,30,23,12,20,2020-21,Home
2021-01-07,Denver Nuggets,Dallas Mavericks,117,124,0.443,0.483,0.341,0.4,0.762,0.774,47,44,25,27,13,13,2020-21,Away
2021-01-08,Memphis Grizzlies,Brooklyn Nets,115,110,0.459,0.469,0.406,0.452,0.857,0.952,46,42,29,26,12,20,2020-21,Home
2021-01-08,New Orleans Pelicans,Charlotte Hornets,110,118,0.494,0.471,0.395,0.381,0.731,0.8,36,45,29,33,19,14,2020-21,Away
2021-01-08,New York Knicks,Oklahoma City Thunder,89,101,0.354,0.437,0.333,0.324,0.6,0.667,49,62,19,16,4,11,2020-21,Away
2021-01-08,Golden State Warriors,LA Clippers,115,105,0.488,0.482,0.488,0.452,0.833,0.846,38,37,25,23,15,18,2020-21,Home
2021-01-08,Houston Rockets,Orlando Magic,132,90,0.56,0.382,0.468,0.276,0.727,0.875,49,42,34,17,8,12,2020-21,Home
2021-01-08,Boston Celtics,Washington Wizards,116,107,0.477,0.466,0.375,0.379,0.733,0.875,49,38,21,22,21,17,2020-21,Home
2021-01-08,Detroit Pistons,Phoenix Suns,110,105,0.411,0.451,0.324,0.327,0.862,0.462,46,50,23,24,14,21,2020-21,Home
2021-01-08,Milwaukee Bucks,Utah Jazz,118,131,0.449,0.505,0.31,0.472,0.81,0.615,45,50,18,31,12,10,2020-21,Away
2021-01-08,Los Angeles Lakers,Chicago Bulls,117,115,0.506,0.505,0.414,0.385,0.852,0.929,42,41,21,26,15,12,2020-21,Home
2021-01-08,Sacramento Kings,Toronto Raptors,123,144,0.568,0.582,0.441,0.513,0.571,0.818,26,44,36,30,11,12,2020-21,Away
2021-01-09,Washington Wizards,Miami Heat,124,128,0.444,0.495,0.375,0.372,0.75,0.769,39,61,25,32,6,16,2020-21,Away
2021-01-09,Indiana Pacers,Phoenix Suns,117,125,0.478,0.489,0.414,0.39,0.708,1.0,52,40,23,33,10,2,2020-21,Away
2021-01-09,Milwaukee Bucks,Cleveland Cavaliers,100,90,0.44,0.414,0.333,0.269,0.778,0.688,45,47,25,16,15,15,2020-21,Home
2021-01-09,Sacramento Kings,Portland Trail Blazers,99,125,0.407,0.44,0.267,0.415,0.714,0.87,47,50,21,26,15,8,2020-21,Away
2021-01-09,Minnesota Timberwolves,San Antonio Spurs,122,125,0.5,0.436,0.5,0.406,0.647,0.828,53,48,29,22,16,6,2020-21,Away
2021-01-09,Charlotte Hornets,Atlanta Hawks,113,105,0.519,0.382,0.455,0.311,0.75,0.821,41,47,27,25,15,14,2020-21,Home
2021-01-09,Philadelphia 76ers,Denver Nuggets,103,115,0.417,0.5,0.314,0.364,0.6,0.867,48,45,23,28,16,17,2020-21,Away
2021-01-09,Dallas Mavericks,Orlando Magic,112,98,0.494,0.427,0.5,0.194,0.778,0.727,44,43,25,17,17,9,2020-21,Home
2021-01-10,LA Clippers,Chicago Bulls,130,127,0.489,0.61,0.526,0.545,0.8,0.882,35,38,28,30,10,22,2020-21,Home
2021-01-10,Detroit Pistons,Utah Jazz,86,96,0.333,0.427,0.238,0.314,0.857,0.682,39,63,21,17,7,13,2020-21,Away
2021-01-10,Houston Rockets,Los Angeles Lakers,102,120,0.411,0.505,0.293,0.345,0.696,0.75,43,49,22,28,21,16,2020-21,Away
2021-01-10,Golden State Warriors,Toronto Raptors,106,105,0.409,0.406,0.283,0.342,0.895,0.636,51,48,30,20,15,10,2020-21,Home
2021-01-10,New York Knicks,Denver Nuggets,89,114,0.432,0.536,0.286,0.429,0.76,0.75,36,43,19,23,16,12,2020-21,Away
2021-01-10,Minnesota Timberwolves,San Antonio Spurs,96,88,0.42,0.383,0.346,0.267,0.826,0.571,52,45,19,21,13,10,2020-21,Home
2021-01-10,Brooklyn Nets,Oklahoma City Thunder,116,129,0.506,0.544,0.294,0.385,0.833,0.941,43,34,23,24,17,10,2020-21,Away
