Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Season,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Winner
2020-11-26,Real Madrid,CSKA Moscow,73.0,74.0,2020-21,,,,,,,,,,,,,Away
2020-11-26,Olimpia Milano,Maccabi Tel Aviv,86.0,85.0,2020-21,,,,,,,,,,,,,Home
2020-11-26,Baskonia,Olympiacos,90.0,76.0,2020-21,,,,,,,,,,,,,Home
2020-11-26,Efes,Red Star Belgrade,75.0,64.0,2020-21,,,,,,,,,,,,,Home
2020-11-26,Zenit,Zalgiris,83.0,75.0,2020-21,,,,,,,,,,,,,Home
2020-11-27,Valencia,Fenerbahce,90.0,86.0,2020-21,,,,,,,,,,,,,Home
2020-11-27,Bayern Munich,Panathinaikos,76.0,83.0,2020-21,,,,,,,,,,,,,Away
2020-11-27,Barcelona,ASVEL,68.0,80.0,2020-21,,,,,,,,,,,,,Away
2020-12-01,Panathinaikos,ASVEL,73.0,97.0,2020-21,,,,,,,,,,,,,Away
2020-12-01,ALBA Berlin,Olimpia Milano,55.0,75.0,2020-21,,,,,,,,,,,,,Away
2020-12-03,Olympiacos,CSKA Moscow,61.0,80.0,2020-21,,,,,,,,,,,,,Away
2020-12-03,Red Star Belgrade,Maccabi Tel Aviv,76.0,81.0,2020-21,,,,,,,,,,,,,Away
2020-12-03,Panathinaikos,Olimpia Milano,80.0,77.0,2020-21,,,,,,,,,,,,,Home
2020-12-03,Fenerbahce,Zenit,73.0,65.0,2020-21,,,,,,,,,,,,,Home
2020-12-03,ALBA Berlin,Valencia,100.0,92.0,2020-21,,,,,,,,,,,,,Home
2020-12-04,Baskonia,Efes,77.0,59.0,2020-21,,,,,,,,,,,,,Home
2020-12-04,Khimki,Bayern Munich,77.0,80.0,2020-21,,,,,,,,,,,,,Away
2020-12-04,ASVEL,Real Madrid,84.0,91.0,2020-21,,,,,,,,,,,,,Away
2020-12-04,Barcelona,Zalgiris,73.0,62.0,2020-21,,,,,,,,,,,,,Home
2020-12-08,Olimpia Milano,Khimki,102.0,93.0,2020-21,,,,,,,,,,,,,Home
2020-12-08,Zenit,Valencia,85.0,72.0,2020-21,,,,,,,,,,,,,Home
2020-12-08,Olympiacos,Barcelona,96.0,88.0,2020-21,,,,,,,,,,,,,Home
2020-12-08,ASVEL,Efes,68.0,72.0,2020-21,,,,,,,,,,,,,Away
2020-12-10,Fenerbahce,ALBA Berlin,63.0,89.0,2020-21,,,,,,,,,,,,,Away
2020-12-10,Zenit,Real Madrid,72.0,79.0,2020-21,,,,,,,,,,,,,Away
2020-12-10,Olympiacos,Red Star Belgrade,81.0,79.0,2020-21,,,,,,,,,,,,,Home
2020-12-10,Efes,Valencia,74.0,76.0,2020-21,,,,,,,,,,,,,Away
2020-12-10,Maccabi Tel Aviv,Baskonia,67.0,63.0,2020-21,,,,,,,,,,,,,Home
2020-12-11,Olimpia Milano,Barcelona,71.0,87.0,2020-21,,,,,,,,,,,,,Away
2020-12-11,ASVEL,Bayern Munich,62.0,76.0,2020-21,,,,,,,,,,,,,Away
2020-12-11,CSKA Moscow,Khimki,96.0,87.0,2020-21,,,,,,,,,,,,,Home
2020-12-11,Zalgiris,Panathinaikos,81.0,69.0,2020-21,,,,,,,,,,,,,Home
2020-12-15,Olimpia Milano,Fenerbahce,79.0,71.0,2020-21,,,,,,,,,,,,,Home
2020-12-15,ALBA Berlin,Red Star Belgrade,90.0,84.0,2020-21,,,,,,,,,,,,,Home
2020-12-15,Baskonia,Zalgiris,73.0,92.0,2020-21,,,,,,,,,,,,,Away
2020-12-15,Efes,CSKA Moscow,65.0,100.0,2020-21,,,,,,,,,,,,,Away
2020-12-15,Real Madrid,Panathinaikos,97.0,93.0,2020-21,,,,,,,,,,,,,Home
2020-12-16,Bayern Munich,Zenit,75.0,79.0,2020-21,,,,,,,,,,,,,Away
2020-12-16,Maccabi Tel Aviv,ASVEL,81.0,84.0,2020-21,,,,,,,,,,,,,Away
2020-12-16,Khimki,Barcelona,74.0,87.0,2020-21,,,,,,,,,,,,,Away
2020-12-16,Valencia,Olympiacos,96.0,85.0,2020-21,,,,,,,,,,,,,Home
2020-12-17,Olimpia Milano,Efes,72.0,69.0,2020-21,,,,,,,,,,,,,Home
2020-12-17,ALBA Berlin,Panathinaikos,69.0,92.0,2020-21,,,,,,,,,,,,,Away
2020-12-17,Fenerbahce,Zalgiris,62.0,99.0,2020-21,,,,,,,,,,,,,Away
2020-12-18,Maccabi Tel Aviv,Barcelona,68.0,67.0,2020-21,,,,,,,,,,,,,Home
2020-12-18,Baskonia,Bayern Munich,66.0,77.0,2020-21,,,,,,,,,,,,,Away
2020-12-18,Zenit,CSKA Moscow,65.0,83.0,2020-21,,,,,,,,,,,,,Away
2020-12-18,Real Madrid,Olympiacos,86.0,82.0,2020-21,,,,,,,,,,,,,Home
2020-12-18,Valencia,Red Star Belgrade,73.0,76.0,2020-21,,,,,,,,,,,,,Away
2020-12-18,Khimki,ASVEL,84.0,90.0,2020-21,,,,,,,,,,,,,Away
2020-12-22,CSKA Moscow,ASVEL,87.0,78.0,2020-21,,,,,,,,,,,,,Home
2020-12-22,ALBA Berlin,Real Madrid,62.0,91.0,2020-21,,,,,,,,,,,,,Away
2020-12-22,Red Star Belgrade,Zenit,69.0,98.0,2020-21,,,,,,,,,,,,,Away
2020-12-22,Barcelona,Efes,79.0,86.0,2020-21,,,,,,,,,,,,,Away
2020-12-22,Panathinaikos,Maccabi Tel Aviv,81.0,89.0,2020-21,,,,,,,,,,,,,Away
2020-12-23,Baskonia,Olimpia Milano,84.0,79.0,2020-21,,,,,,,,,,,,,Home
2020-12-23,Olympiacos,Fenerbahce,77.0,84.0,2020-21,,,,,,,,,,,,,Away
2020-12-23,Khimki,Valencia,82.0,88.0,2020-21,,,,,,,,,,,,,Away
2020-12-23,Bayern Munich,Zalgiris,73.0,74.0,2020-21,,,,,,,,,,,,,Away
2020-12-29,Zalgiris,ALBA Berlin,74.0,71.0,2020-21,,,,,,,,,,,,,Home
2020-12-29,Real Madrid,Efes,73.0,65.0,2020-21,,,,,,,,,,,,,Home
2020-12-29,Olympiacos,Khimki,105.0,88.0,2020-21,,,,,,,,,,,,,Home
2020-12-29,Zenit,Maccabi Tel Aviv,78.0,72.0,2020-21,,,,,,,,,,,,,Home
2020-12-29,Valencia,Baskonia,70.0,71.0,2020-21,,,,,,,,,,,,,Away
2020-12-30,Panathinaikos,Red Star Belgrade,71.0,74.0,2020-21,,,,,,,,,,,,,Away
2020-12-30,Barcelona,Bayern Munich,77.0,90.0,2020-21,,,,,,,,,,,,,Away
2020-12-30,CSKA Moscow,Olimpia Milano,91.0,87.0,2020-21,,,,,,,,,,,,,Home
2020-12-30,ASVEL,Fenerbahce,59.0,81.0,2020-21,,,,,,,,,,,,,Away
2021-01-05,Baskonia,ALBA Berlin,91.0,95.0,2020-21,,,,,,,,,,,,,Away
2021-01-07,Maccabi Tel Aviv,ALBA Berlin,85.0,73.0,2020-21,,,,,,,,,,,,,Home
2021-01-07,Valencia,Barcelona,72.0,89.0,2020-21,,,,,,,,,,,,,Away
